Vendors name,Address,Phone number,Email,Social account,Website URL,Image URL,Vendors description,Category
Sktch Events,"Las Vegas, NV",+1 702 327 9368,[],https://www.instagram.com/sktchevents,http://sktchevents.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Las Vegas based, Woman-Owned💫We are specialists in space design!",Fabrication
AGENC Experiential + Digital,"Los Angeles, CANew York, NY",No Phone Number,"['hello@agen-c.com', 'obs@agen-c.com']",https://www.instagram.com/weareagenc,http://agen-c.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Award-winning, live experiences and integrated digital campaigns that shape ideas, change culture and amplify causes. Based in Los Angeles & New York, working worldwide.",Experiential Agency
AFR Furniture Rental,Multiple locations,No Phone Number,"['events@rentfurniture.com', 'events@rentfurniture.com', 'events@rentfurniture.com']",Not Available,https://www.afrevents.com/,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","AFR Furniture Rental is a rentals company based in Chicago, IL.",Rentals
CatAlina Productions ,"Newport Beach, CASanta Monica, CA",+1 714 204 9899,['hello@catalina-productions.com'],https://www.instagram.com/catalina_productions,http://catalina-productions.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg",Strategically Designed Event Experiences ,Experiential Agency
Deborah Miller Catering & Events,"New York, NY",+1 646 706 4407,[],https://www.instagram.com/deborahmillercatering,http://deborahmillercatering.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Deborah Miller Catering & Events is a caterer based in New York, NY.",Catering
Brand Activation Services,"New York, NY",+1 917 539 7344,[],Not Available,http://brandactivationservices.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Brand Activation Services is an experiential designer based in New York, NY.",Experiential Design
Tonic Beverage Catering,"San Francisco, CA",No Phone Number,[],https://www.instagram.com/tonic_bev_catering,http://tonicbeveragecatering.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Tonic Beverage Catering is a caterer based in San Francisco, CA.",Catering
NYC Photo Party,"New York, NY",+1 347 867 5671,[],https://www.instagram.com/nycphotoparty,http://nycphotoparty-2.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg",NYC PHOTO PARTY is a New York City Based Interactive Event Photography & Experiential Marketing Company. Offering Nationwide Event Coverage. ,Photo Booth
Riviera Caterers,"New York, NY",+1 212 730 6850,[],https://www.instagram.com/rivieracaterers,http://rivieracaterers.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Over 100 years of excellence & ""Non-Tradition."" Caterer of choice to the worlds biggest brands & celebrities!",Catering
Meritage Events,"Dallas, TXAustin, TX",+1 214 202 3933,"['info@meritageevents.com', 'info@meritageevents.com', 'info@meritageevents.com']",https://www.instagram.com/meritageevents,http://meritageevents.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Meritage Events is a planning & production company based in Dallas, TX.",Planning & Production
The Factory NYC,"Brooklyn, NYBrooklyn, NY",+1 718 280 1558,['mail@address.com'],https://www.instagram.com/the_factory_nyc,http://thefactorynyc.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg",Your favorite fabrication shop in Brooklyn.,Fabrication
The Hype Agency,"Salem, NHRedondo Beach, CA",+1 603 328 9019,"['newbusiness@thehypeagency.com', 'newbusiness@thehypeagency.com']",https://www.instagram.com/thehypeagency,http://thehypeagency.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","We are a nationwide, full-service event staffing and execution partner. Hype! continues to be recognized as an industry leader for its unmatched client service and talent management. We are not your average event staffing agency. ",Staffing
East Olivia,"New York, NY",No Phone Number,[],https://www.instagram.com/eastolivia,http://eastolivia.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","Floral design (specializing in large scale installations), creative direction and event design. Passionate about creating beauty in NY + LA & beyond.",Experiential Design
White Walls Fabrication,"Santa Clarita, CA",+1 661 702 1955,[],https://www.instagram.com/whitewallsfabrication,http://whitewallsfab.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg","White Walls specializes in Design, Fabrication and Logistics for experiential events, sets and stages, trade show exhibits, interior environments, retail spaces, and mobile marketing tours.",Fabrication
28Muses,"New York, NY",+1 917 593 5749,"['privacy@28muses.com', 'privacy@28muses.com', 'privacy@28muses.com', 'privacy@28muses.com', 'privacy@28muses.com', 'privacy@28muses.com', 'info@28muses.com', 'book@28muses.com']",https://www.instagram.com/28Muses,http://28muses.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F457%2F1564180770189_bumbleexterior.jpg",We build human connection & culture through creativity. Our mission is to cultivate creative power through wonder & play.  Participants will walk away inspired & more confident while teams will walk away with more empathy & a long lasting bond.  🙌,Group Activities
On Board Experiential,Multiple locations,+1 415 331 4789,[],https://www.instagram.com/obexp,http://obexp.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",We are an experience-led agency.,Experiential Agency
Drawing Booth,Multiple locations,+1 347 593 8663,"['hello@drawingbooth.com', 'hello@drawingbooth.com', 'hello@drawingbooth.com', 'hello@drawingbooth.com', 'elke@drawingbooth.com', 'shira@drawingbooth.com', 'yasmin@drawingbooth.com']",https://www.instagram.com/drawingbooth,http://drawingbooth.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Digital Live Art Experiences,Entertainment
Reservedx,"Toronto, CanadaWest Hollywood, CA",+1 416 998 0304,[],https://www.instagram.com/Rsvdx,http://reservedx.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","Reservedx is a Talent Management Agency representing a diverse team of event producers + marketing freelancers. We operate as an extension of our agency clients, the invisible third hand devoted to bringing the larger picture into fruition.",Planning & Production
Paulette Wolf Events & Entertainment,"Chicago, IL",+1 312 981 2600,"['events@pwe-e.com', 'events@pwe-e.com']",https://www.instagram.com/paulettewolfevents,http://pwe-e.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Paulette Wolf Events is a top national event management and event planning company with offices in Chicago and Miami.,Planning & Production
J&L Catering,"Chicago, IL",+1 312 280 7900,"['info@jandcatering.com', 'info@jandcatering.com', 'info@jandcatering.com', 'info@jandcatering.com', 'info@jandcatering.com', 'info@jandcatering.com', 'info@jandlcatering.com', 'info@jandlcatering.com']",https://www.instagram.com/jandlcatering,http://jandlcatering.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Creating high end custom food with highly personalized service ,Catering
Sense New York,"New York, NY",+1 917 453 2400,"['sarah@sense-nyc.com', 'sarah@sense-nyc.com', '/@51.5161547', 'ick.adams@senselondon.com', 'nick.adams@senselondon.com', '/@51.5161547', 'ick.adams@senselondon.com', 'nick.adams@senselondon.com', 'sarah@sense-nyc.com', 'sarah@sense-nyc.com', '/@51.5161547', 'ick.adams@senselondon.com', 'nick.adams@senselondon.com', 'sarah@sense-nyc.com', 'sarah@sense-nyc.com']",https://www.instagram.com/sensemktg,http://sensemktg.com/us,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Sense is a strategically-driven experiential agency that produces unique creative moments to capture the hearts and minds of any audience. ,Experiential Agency
BeCore,"Los Angeles, CA",+1 213 747 3123,"['bizdev@becore.com', 'bizdev@becore.com', ""'/wp-content/uploads/2019/11/bg-img@3x.jpg"", 'bizdev@becore.com', 'bizdev@becore.com']",Not Available,http://becore.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Connecting brands with consumers through real world experiences since 99',Experiential Agency
Bash Creative,"San Francisco, CA",+1 415 295 5078,"['info@bash-creative.com', 'info@bash-creative.com', 'info@bash-creative.com', 'info@bash-creative.com', 'info@bash-creative.com']",https://www.instagram.com/bashcreative,http://bash-creative.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Distinctive Style Meets Flawless Execution,Planning & Production
KEHOE DESIGNS,"Chicago, IL",+1 312 421 0030,[],https://www.instagram.com/kehoedesigns,http://kehoedesigns.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","Kehoe Designs has built a reputation for innovative event designs, personalized experiences for luxury weddings, corporate events, and social gatherings!",Planning & Production
Fun Corporate Magic,"New York, NY",+1 646 476 9830,['info@funcorporatemagic.com'],https://www.instagram.com/illusionistmatias,http://funcorporatemagic.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","Fun Corporate Magic is an entertainment company based in New York, NY.",Entertainment
Meridian Events,"New York, NY",+1 561 578 9000,[],https://www.instagram.com/meridianeventsnyc,http://meridianevents.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Luxury Corporate Events & Incentive Trips,Planning & Production
RentQuest,"New York, NY",+1 212 243 4291,"['rentquestnyc1107@gmail.com', 'rentquestnyc1107@gmail.com', 'vanessa@rentquestnyc.com', 'info@rentquestnyc.com']",https://www.instagram.com/rentquest_nyc,http://rentquestnyc.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","Welcome to New York’s leading event rental company, creating the space for your time.",Rentals
Canary Marketing,"San Francisco, CA",+1 415 635 2100,"['hello@canarymarketing.com', 'hello@canarymarketing.com', 'hr@canarymarketing.com', 'hr@canarymarketing.com', 'retailers@canarymarketing.com', 'retailers@canarymarketing.com']",https://www.instagram.com/canarymarketing,http://canarymarketing.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",We bring brands to life through product and experiences globally.,Gifts & Swag
CxRA,"New York, NY",+1 212 755 8300,[],https://www.instagram.com/cxra_nyc,http://cxra.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","CxRA is a custom caterer devoted to creating extraordinary events. Fresh, local ingredients and years of fine-tuned culinary expertise are just the start. Where do we go from there? Wherever you like.",Catering
Prospect Events,"New York, NY",+1 415 463 9857,[],https://www.instagram.com/prospect.events,http://prospect-events.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",A fresh approach to events. ,Planning & Production
MadeFirst,"Nashville, TNSanta Clarita, CA",+1 615 583 9113,[],https://www.instagram.com/madefirsttn,http://madefirst.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","MadeFirst has the artisans, resources and creativity to see your ideas realized.",Fabrication
Creative Edge Parties,"New York, NYMiami, FL",+1 212 741 3000,[],https://www.instagram.com/creattiveedgeparties,http://creativeedgeparties.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","Creative Edge Parties is a caterer based in New York, NY.",Catering
Chocotastery,"Hoboken, NJ",+1 646 522 6524,"['support@gist-apps.com', 'support@gist-apps.com', 'support@chocotastery.com', 'support@chocotastery.com', '//cdn.shopify.com/s/files/1/0019/9098/3733/files/chocotastery-logo-transparent_3b6d7729-dc7c-4813-a179-56dfcfaf93e0_140x@2x.png', 'example@mail.com', 'user@example.com']",https://www.instagram.com/instagram,http://chocotastery.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Your Destination for Chocolate Education and Tasting Experiences Perfect for any Team Building and Corporate Event!,Group Activities
Abigail Kirsch,"New York, NY",+1 212 696 4076,[],https://www.instagram.com/abigailkirschculinary,http://abigailkirsch.com/catering-events/,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","From luncheons in Central Park, to product launches at the Empire State Building, to weddings in a country mansion, Abigail Kirsch events are exceptional.",Catering
Robotproof,"Los Angeles, CA",+1 404 550 2952,"['info@wearerobotproof.com', 'info@wearerobotproof.com']",https://www.instagram.com/wearerobotproof,http://wearerobotproof.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Good Thinking Served Here,Experiential Agency
Clark Studio,"Los Angeles, CANew York, NY",+1 212 365 0958,['scott@scottclarkphoto.com'],https://www.instagram.com/clarkstudio,http://clarkstudio.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","Clark Studio is an Event Photography Agency located in New York and Los Angeles. We tell your story through Design, Fashion, and Style. ",Photography
Makeout,"Brooklyn, NY",+1 518 750 4194,"['lets@makeout.nyc', 'lets@makeout.nyc', 'lets@makeout.nyc', 'xoxo@makeout.nyc', 'xoxo@makeout.nyc']",https://www.instagram.com/makeoutnyc,http://makeout.nyc,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg",Makeout is a creative production partner that specializes in all things content & experiential.,Experiential Agency
HighLife Productions,"New York, NY",+1 917 837 5197,"['info@thehighlifeproductions.com', 'info@thehighlifeproductions.com']",https://www.instagram.com/TheHighLifeProductionsco,http://thehighlifeproductions.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","The key to an extraordinary event is extraordinary event planning. We are a NYC based, full-service event production agency, employing exceptional model staff for exceptional clients.",Planning & Production
ASV,"Torrance, CA",+1 424 205 1426,[],https://www.instagram.com/asvinc,http://asv1.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F506%2F1609896394599_JPMCC-2020-Virtual-v1-Half.jpg","We are an award-winning, minority owned 34-year experiential marketing company with an 85,000 sq/ft facility housing a full wood shop, metal shop, paint shop, grand format print department, rental inventory and client storage.  ",Planning & Production
